id,name,port_code,shipment_type_name,country_country_code
4000,Bojnord,BJB,Air,IR
4001,Bushehr,BUZ,Air,IR
4002,Chah-Bahar,ZBR,Air,IR
4003,Dezful,DEF,Air,IR
4004,Fasa,FAZ,Air,IR
4005,Gachsaran,GCH,Air,IR
4006,Ghazvin,GZW,Air,IR
4007,Gheshm,GSM,Air,IR
4008,Gorgan,GBT,Air,IR
4009,Hamadan,HDM,Air,IR
4010,Havadarya,HDR,Air,IR
4011,Hesa,IFH,Air,IR
4012,Ilaam,IIL,Air,IR
4013,Iran Shahr,IHR,Air,IR
4014,Isfahan,IFN,Air,IR
4015,Jiroft,JYR,Air,IR
4016,Kalaleh,KLM,Air,IR
4017,Jam,KNR,Air,IR
4018,Kerman,KER,Air,IR
4019,Kermanshah,KSH,Air,IR
4020,Khaneh,KHA,Air,IR
4021,Khark Island,KHK,Air,IR
4022,Khorramabad,KHD,Air,IR
4023,Khoy,KHY,Air,IR
4024,Kish Island,KIH,Air,IR
4025,Lamerd,LFM,Air,IR
4026,Lar A/P,LRR,Air,IR
4027,Lavan,LVP,Air,IR
4028,Mashad,MHD,Air,IR
4029,Nojeh,NUJ,Air,IR
4030,Now Shahr,NSH,Air,IR
4031,Omidieh,OMI,Air,IR
4032,Parsabad,PFQ,Air,IR
4033,Rafsanjan,RJN,Air,IR
4034,Ramsar,RZR,Air,IR
4035,Rasht,RAS,Air,IR
4036,Sabzevar,AFZ,Air,IR
4037,Sahand,ACP,Air,IR
4038,Sanandaj,SDG,Air,IR
4039,Sarakhs,CKT,Air,IR
4040,Dashte Naz,SRY,Air,IR
4041,Shahre-Kord,CQD,Air,IR
4042,Shiraz,SYZ,Air,IR
4043,Sirjan,SYJ,Air,IR
4044,Sirri Island,SXI,Air,IR
4045,Tabas,TCX,Air,IR
4046,Tabriz,TBZ,Air,IR
4047,Mehrabad,THR,Air,IR
4048,Tohid,TEW,Air,IR
4049,Urmieh,OMH,Air,IR
4050,Yasouj,YES,Air,IR
4051,Yazd,AZD,Air,IR
4052,Zabol A/P,ACZ,Air,IR
4053,Zahedan,ZAH,Air,IR
4054,Zanjan,JWN,Air,IR
4055,Akureyri,AEY,Air,IS
4056,Bakkafjordur,BJD,Air,IS
4057,Bildudalur,BIU,Air,IS
4058,Blonduos,BLO,Air,IS
4059,Borgarfjordur Eystri,BGJ,Air,IS
4060,Breiddalsvik,BXV,Air,IS
