id,name,port_code,shipment_type_name,country_country_code
6500,Ladouanie,LDO,Air,SR
6501,Moengo,MOJ,Air,SR
6502,Nieuw Nickerie,ICK,Air,SR
6503,Vincent Fayks,OEM,Air,SR
6504,Zanderij Intl,PBM,Air,SR
6505,Zorg En Hoop,ORG,Air,SR
6506,Stoelmans Eiland,SMZ,Air,SR
6507,Coronie,TOT,Air,SR
6508,Wageningen,AGI,Air,SR
6509,Washabo,WSO,Air,SR
6510,Porto Alegre,PGP,Air,ST
6511,Principe,PCP,Air,ST
6512,Sao Tome Is,TMS,Air,ST
6513,Comalapa International,SAL,Air,SV
6514,Al Thaurah,SOR,Air,SY
6515,Nejrab,ALP,Air,SY
6516,International,DAM,Air,SY
6517,Al Jafrah,DEZ,Air,SY
6518,Kameshli,KAC,Air,SY
6519,Latakia,LTK,Air,SY
6520,Palmyra,PMS,Air,SY
6521,Matsapha Intl,MTS,Air,SZ
6522,Grand Turk Is,GDT,Air,TC
6523,Middle Caicos,MDS,Air,TC
6524,North Caicos,NCA,Air,TC
6525,Pine Cay,PIC,Air,TC
6526,International,PLS,Air,TC
6527,Salt Cay,SLX,Air,TC
6528,International,XSC,Air,TC
6529,Abecher,AEH,Air,TD
6530,Abou Deia,AOD,Air,TD
6531,Ati,ATV,Air,TD
6532,Bokoro,BKR,Air,TD
6533,Bol,OTC,Air,TD
6534,Bongor,OGR,Air,TD
6535,Bousso,OUT,Air,TD
6536,Faya,FYT,Air,TD
6537,Lai,LTC,Air,TD
6538,Mao,AMO,Air,TD
6539,Melfi,MEF,Air,TD
6540,Mongo,MVO,Air,TD
6541,Moundou,MQQ,Air,TD
6542,Ndjamena,NDJ,Air,TD
6543,Oum Hadjer,OUM,Air,TD
6544,Pala,PLF,Air,TD
6545,Sarh,SRH,Air,TD
6546,Zakouma,AKM,Air,TD
6547,Am Timan,AMC,Air,TD
6548,Lome,LFW,Air,TG
6549,Niamtougou,LRL,Air,TG
6550,Udorn,BAO,Air,TH
6551,International,BKK,Air,TH
6552,Buri Ram,BFV,Air,TH
6553,International,CNX,Air,TH
6554,Chiang Rai,CEI,Air,TH
6555,Chumphon Airport,CJM,Air,TH
6556,Hat Yai,HDY,Air,TH
6557,Hua Hin Airport,HHQ,Air,TH
6558,Kamphangsaen,KDT,Air,TH
6559,Khon Kaen,KKC,Air,TH
6560,Koh Samui,USM,Air,TH
6561,Krabi,KBV,Air,TH
6562,Lampang,LPT,Air,TH
6563,Loei,LOE,Air,TH
6564,Lop Buri,KKM,Air,TH
6565,Mae Hong Son,HGN,Air,TH
6566,Mae Sot,MAQ,Air,TH
6567,Nakhon Phanom,KOP,Air,TH
6568,Nakhon Ratchasima,NAK,Air,TH
6569,Nakhon Si Thammarat,NST,Air,TH
6570,Nan,NNT,Air,TH
6571,Narathiwat,NAW,Air,TH
6572,Patong Beach,PBS,Air,TH
6573,Pattani,PAN,Air,TH
6574,Pattaya,PYX,Air,TH
6575,Phanom Sarakham,PMM,Air,TH
6576,Phetchabun,PHY,Air,TH
6577,Phi Phi Island,PHZ,Air,TH
6578,Phitsanulok,PHS,Air,TH
6579,Phrae,PRH,Air,TH
6580,Phuket International,HKT,Air,TH
6581,Ranong,UNN,Air,TH
6582,Roi Et Airport,ROI,Air,TH
6583,Sakon Nakhon,SNO,Air,TH
6584,Songkhla,SGZ,Air,TH
6585,Surat Thani,URT,Air,TH
6586,Surin,PXR,Air,TH
6587,Tak,TKT,Air,TH
6588,Takhli,TKH,Air,TH
6589,Trang,TST,Air,TH
6590,Trat,TDX,Air,TH
6591,Muang Ubon,UBP,Air,TH
6592,Udon Thani,UTH,Air,TH
6593,Utapao,UTP,Air,TH
6594,Uttaradit,UTR,Air,TH
6595,dyu,DYU,Air,TJ
6596,Khudzhand,LBD,Air,TJ
6597,Ashgabat,ASB,Air,TM
6598,Dashoguz,TAZ,Air,TM
6599,Mary,MYP,Air,TM
6600,Turkmenabad,CRZ,Air,TM
6601,Turkmanbashi,KRW,Air,TM
6602,Djerba-Zarzis,DJE,Air,TN
6603,El Borma,EBM,Air,TN
6604,Gabes,GAE,Air,TN
6605,Gafsa,GAF,Air,TN
6606,Sfax El Maou,SFA,Air,TN
6607,Tabarka,TBJ,Air,TN
6608,Tozeur,TOE,Air,TN
6609,Carthage,TUN,Air,TN
6610,Habib Bourguiba,MIR,Air,TN
6611,Kaufana,EUA,Air,TO
6612,Kuini Lavenia,NTT,Air,TO
6613,Adana,ADA,Air,TR
6614,Adana-Incirlik Airbase,UAB,Air,TR
6615,Adiyaman,ADF,Air,TR
6616,Afyon,AFY,Air,TR
6617,Ağri,AJI,Air,TR
6618,Esenboga,ESB,Air,TR
