id,name,port_code,shipment_type_name,country_country_code
8000,Lyndonville,LLX,Air,US
8001,Rice County Municipal,LYO,Air,US
8002,Mackinac Island,MCD,Air,US
8003,Municipal,MQB,Air,US
8004,Lewis B Wilson,MCN,Air,US
8005,Robins AFB,WRB,Air,US
8006,Smart,MAC,Air,US
8007,Madera,MAE,Air,US
8008,Griswold,MPE,Air,US
8009,Jefferson Proving Grd,MDN,Air,US
8010,Madison,XMD,Air,US
8011,Dane County Regional,MSN,Air,US
8012,City-county,MDJ,Air,US
8013,Municipal,AGO,Air,US
8014,Malad City,MLD,Air,US
8015,Malden,MAW,Air,US
8016,Malta,MLK,Air,US
8017,Mammoth Lakes,MMH,Air,US
8018,Manassas,MNZ,Air,US
8019,Municipal,MHT,Air,US
8020,Municipal,MHK,Air,US
8021,Municipal,MXA,Air,US
8022,Blacker,MBL,Air,US
8023,Schoolcraft County,ISQ,Air,US
8024,Municipal,MTW,Air,US
8025,Municipal,MKT,Air,US
8026,Municipal Heliport,JMN,Air,US
8027,Manley Hot Springs,MLY,Air,US
8028,Manokotak SPB,KMO,Air,US
8029,Lahm Municipal,MFD,Air,US
8030,Dare County Regional,MEO,Air,US
8031,Manti-Ephraim,NTJ,Air,US
8032,Kupper,JVI,Air,US
8033,Marana,MZJ,Air,US
8034,Marathon Flight Strip,MTH,Air,US
8035,Marble Canyon,MYH,Air,US
8036,Marco Island,MRK,Air,US
8037,Municipal,MRF,Air,US
8038,Marguerite Bay,RTE,Air,US
8039,Atlanta NAS,NCQ,Air,US
8040,Dobbins AFB,MGE,Air,US
8041,Williamson County,MWA,Air,US
8042,Marion,MZZ,Air,US
8043,Municipal,MNN,Air,US
8044,Selfs,MMS,Air,US
8045,Marlborough,MXG,Air,US
8046,Sawyer International,MQT,Air,US
8047,Marshall,MLL,Air,US
8048,Municipal-Ryan Field,MML,Air,US
8049,Memorial Municipal,MHL,Air,US
8050,Harrison County,ASL,Air,US
8051,Municipal,MIW,Air,US
8052,Municipal,MFI,Air,US
8053,Martinsburg,AOO,Air,US
8054,Eastern Wv Regional Airport/Shepherd Field,MRB,Air,US
8055,Beale AFB,BAB,Air,US
8056,Yuba County,MYV,Air,US
8057,Mason City,MCW,Air,US
8058,Richards Field,MSS,Air,US
8059,Matagorda AFB,MGI,Air,US
8060,Coles County Memorial,MTO,Air,US
8061,Maxton,MXE,Air,US
8062,May Creek,MYK,Air,US
8063,Ns,NRB,Air,US
8064,Mc Alester,MLC,Air,US
8065,Telfair-Wheeler,MQW,Air,US
8066,Mccall,MYL,Air,US
8067,Mccarthy,MXY,Air,US
8068,Pike County,MCB,Air,US
8069,Mccook,MCK,Air,US
8070,Mcgrath,MCG,Air,US
8071,Warren County,RNC,Air,US
8072,Mcpherson,MPR,Air,US
8073,Meadville,MEJ,Air,US
8074,Jackson County,MFR,Air,US
8075,Medford,MDF,Air,US
8076,Medfra,MDR,Air,US
8077,Ellis Field,MYU,Air,US
8078,Melbourne Intl,MLB,Air,US
8079,Accomack County,MFV,Air,US
8080,International,MEM,Air,US
8081,NAS,NQA,Air,US
8082,Menominee,MNM,Air,US
8083,Castle AFB,MER,Air,US
8084,Merced Municipal Arpt,MCE,Air,US
8085,Desert Rock,DRA,Air,US
8086,Key Field,MEI,Air,US
8087,Municipal,RRL,Air,US
8088,Falcon Field,MSC,Air,US
8089,Mesquite,MFH,Air,US
8090,SPB,MTM,Air,US
8091,SPB,WMK,Air,US
8092,Dade Collier,TNT,Air,US
8093,Downtown Heliport,JDM,Air,US
8094,Miami International Airport,MIA,Air,US
8095,Opa Locka,OPF,Air,US
8096,SPB,MPB,Air,US
8097,Tamiami,TMB,Air,US
8098,Miami,MIO,Air,US
8099,Michigan City Arpt,MGC,Air,US
8100,Intermediate,MDO,Air,US
8101,Hook Field,MWO,Air,US
8102,Airpark,MDD,Air,US
8103,Odessa Regional,MAF,Air,US
8104,Municipal,MLS,Air,US
8105,Milford,MLF,Air,US
8106,Baldwin County,MLJ,Air,US
8107,Millinocket,MLT,Air,US
8108,Millville,MIV,Air,US
8109,Whiting Field NAS,NSE,Air,US
8110,Milwaukee,ZML,Air,US
8111,General Mitchell,MKE,Air,US
8112,Lawrence J Timmerman,MWC,Air,US
8113,Intermediate,MHM,Air,US
8114,Douglas County,MEV,Air,US
8115,Ft Wolter AAF,CWO,Air,US
8116,Mineral Wells Arpt,MWL,Air,US
8117,Crystal,MIC,Air,US
8118,Downtown Heliport,JDT,Air,US
8119,Flying Cloud,FCM,Air,US
8120,St Paul Intl,MSP,Air,US
8121,Noble F. Lee,ARV,Air,US
8122,International,MOT,Air,US
8123,Minot AFB,MIB,Air,US
8124,Minto,MNT,Air,US
8125,Mission,MFE,Air,US
8126,Johnson-Bell Field,MSO,Air,US
8127,Municipal,MHE,Air,US
8128,Canyonlands Field,CNY,Air,US
8129,Moberly,MBY,Air,US
8130,Mob Aerospace,BFM,Air,US
8131,Mobile Regional Arpt,MOB,Air,US
8132,Mobridge,MBG,Air,US
8133,Municipal,MOD,Air,US
8134,Kern County,MHV,Air,US
8135,Quad-City,MLI,Air,US
8136,Roy Hurd Memorial,MIF,Air,US
8137,Municipal,MLU,Air,US
8138,Monroe - Walton County,MVC,Air,US
8139,Siskiyou County,SIY,Air,US
8140,Sky Portal,MTP,Air,US
8141,Ohara International,OAR,Air,US
8142,Monterey Peninsula,MRY,Air,US
8143,Dannelly Fld,MGM,Air,US
8144,Gunter AFB,GUN,Air,US
8145,Maxwell AFB,MXF,Air,US
8146,Orange County,MGJ,Air,US
8147,Municipal,MXO,Air,US
8148,Sullivan County Intl,MSV,Air,US
8149,San Juan County,MXC,Air,US
8150,Edward F Knapp State,MPV,Air,US
8151,Montrose County,MTJ,Air,US
8152,Montvale,QMV,Air,US
8153,Monument Valley,GMV,Air,US
8154,Lenoir,MRN,Air,US
8155,Morgantown,MGW,Air,US
8156,Petit Jean Park,MPJ,Air,US
8157,Municipal,MOX,Air,US
8158,Municipal,MMU,Air,US
8159,Moore-Murrell,MOR,Air,US
8160,Moser Bay,KMY,Air,US
8161,Grant County,MWH,Air,US
8162,Larson AFB,LRN,Air,US
8163,Intermediate,MOS,Air,US
8164,Spence,MUL,Air,US
8165,Thomasville,MGR,Air,US
8166,Burlington County,LLY,Air,US
8167,Municipal,MOP,Air,US
8168,Mount Pleasant,MPS,Air,US
8169,Rep,MHS,Air,US
8170,Mount Union,MUU,Air,US
8171,Skagit Regional,MVW,Air,US
8172,Mount Wilson,MWS,Air,US
8173,Mountain Home,WMH,Air,US
8174,AFB,MUO,Air,US
8175,Moffett Field,NUQ,Air,US
8176,Mountain Village,MOU,Air,US
8177,Detroit NAF,NFB,Air,US
8178,Selfridge ANGB,MTC,Air,US
8179,Mt Mckinley,MCL,Air,US
8180,Municipal,MPZ,Air,US
8181,Mt Pleasant,MSD,Air,US
8182,Mt Pocono,MPO,Air,US
8183,Mt Vernon-Outland,MVN,Air,US
8184,Mullen,MHN,Air,US
8185,Delaware County,MIE,Air,US
8186,Calloway County,CEY,Air,US
8187,Muscatine,MUT,Air,US
8188,Muskegon,MKG,Air,US
8189,Davis Field,MKO,Air,US
8190,Hatbox Field,HAX,Air,US
8191,Grand Strand Airport,CRE,Air,US
8192,Myrtle Beach AFB,MYR,Air,US
8193,Nacogdoches,OCH,Air,US
8194,Lufkin Angelina County,LFK,Air,US
8195,Naknek,NNK,Air,US
8196,Nakolik River,NOL,Air,US
8197,Nantucket Memorial,ACK,Air,US
8198,Nanwalek,KEB,Air,US
8199,Napa County,APC,Air,US
8200,Napakiak SPB,WNA,Air,US
8201,SPB,PKA,Air,US
8202,Naples,APF,Air,US
8203,Boire Field,ASH,Air,US
8204,Metropolitan,BNA,Air,US
8205,Hardy-Anders,HEZ,Air,US
8206,Naukiti,NKI,Air,US
8207,Needles,EED,Air,US
8208,Nelson Lagoon,NLG,Air,US
8209,Municipal,ENN,Air,US
8210,Neosho,EOS,Air,US
8211,Nephi,NPH,Air,US
8212,Nevada,NVD,Air,US
8213,New Bedford,EWB,Air,US
8214,Simmons Nott,EWN,Air,US
8215,New Chenega,NCN,Air,US
8216,New Haven,HVN,Air,US
8217,New Haven Rail,ZVE,Air,US
8218,Acadiana Regional,ARA,Air,US
8219,Lafayette Regional,LFT,Air,US
8220,New Koliganek,KGK,Air,US
8221,New London,GON,Air,US
8222,Lakefront,NEW,Air,US
8223,NAS/Alvin Callendar,NBG,Air,US
8224,Harry Clever,PHD,Air,US
8225,Municipal,RNH,Air,US
8226,New Stuyahok,KNW,Air,US
8227,New Ulm,ULM,Air,US
8228,Battery Pk City/N. Cov,NBP,Air,US
8229,Downtown Manhattan H/P,JRB,Air,US
8230,East 34th St Heliport,TSS,Air,US
8231,East 34th St Landing,NES,Air,US
8232,East 60th Street H/P,JRE,Air,US
8233,Flushing,FLU,Air,US
8234,John F Kennedy Intl,JFK,Air,US
8235,La Guardia,LGA,Air,US
8236,Marine Air Terminal,QNY,Air,US
8237,New York Penn STN,ZYP,Air,US
8238,Pier 11/Wall St. SPB,NWS,Air,US
8239,West 30th St Heliport,JRA,Air,US
8240,World Trade Center,WTC,Air,US
8241,Metropark Rail,ZME,Air,US
8242,Newark NJ Rail,ZRP,Air,US
8243,Stewart,SWF,Air,US
8244,Mondell,ECS,Air,US
8245,Parlin Field,NWH,Air,US
8246,Newport,ONP,Air,US
8247,State,NPT,Air,US
8248,Newport,EFK,Air,US
8249,Heliport,JNP,Air,US
8250,Newtok,WWT,Air,US
8251,Municipal,TNU,Air,US
8252,City-County,EWK,Air,US
8253,International,IAG,Air,US
8254,Niblack,NIE,Air,US
