id,name,port_code,shipment_type_name,country_country_code
9000,Municipal,UKN,Air,US
9001,Central Wisconsin,CWA,Air,US
9002,Municipal,AUW,Air,US
9003,Ware County,AYS,Air,US
9004,Green County,WAY,Air,US
9005,Parker County,WEA,Air,US
9006,Municipal,EBS,Air,US
9007,Browns,EPG,Air,US
9008,Harriet Field,LWL,Air,US
9009,Municipal,ELZ,Air,US
9010,Pangborn Field,EAT,Air,US
9011,Wendover,ENV,Air,US
9012,West Bend,ETB,Air,US
9013,West Kavik,VKW,Air,US
9014,West Kuparuk,XPU,Air,US
9015,Municipal,AWM,Air,US
9016,International,PBI,Air,US
9017,Palm Beach County Park,LNA,Air,US
9018,Village SPB,KWP,Air,US
9019,Yellowstone,WYS,Air,US
9020,Stamford Rail STN,ZTF,Air,US
9021,Westchester County Apt,HPN,Air,US
9022,Westerly State,WST,Air,US
9023,Barnes,BAF,Air,US
9024,Suffolk County,FOK,Air,US
9025,Westsound,WSX,Air,US
9026,Whale Pass,WWP,Air,US
9027,Wharton,WHT,Air,US
9028,Phifer Field,EAN,Air,US
9029,Ohio County,HLG,Air,US
9030,Ault Field,NUW,Air,US
9031,White Mountain,WMO,Air,US
9032,White River,WTR,Air,US
9033,White River,LEB,Air,US
9034,Condron AAF,WSD,Air,US
9035,Greenbrier,SSU,Air,US
9036,Regional,HIE,Air,US
9037,Olf Usn,NEN,Air,US
9038,Municipal,BRG,Air,US
9039,Beech,BEC,Air,US
9040,Cessna Aircraft Field,CEA,Air,US
9041,Mcconnell AFB,IAB,Air,US
9042,Mid-Continent,ICT,Air,US
9043,Kickapoo,KIP,Air,US
9044,Sheppard AFB,SPS,Air,US
9045,Wildman Lake,EWD,Air,US
9046,USAF Heliport,WWS,Air,US
9047,Cape May County,WWD,Air,US
9048,International,AVP,Air,US
9049,Wyoming Valle,WBW,Air,US
9050,Wilkes County,IKB,Air,US
9051,Newport News/Williamsb,PHF,Air,US
9052,Lycoming County,IPT,Air,US
9053,Sloulin Field Intl,ISN,Air,US
9054,Willmar,ILL,Air,US
9055,Lost Nation,LNN,Air,US
9056,Willow,WOW,Air,US
9057,Willow Grove NAS,NXX,Air,US
9058,Glenn County,WLW,Air,US
9059,Greater Wilmington,ILG,Air,US
9060,Wilmington Rail,ZWI,Air,US
9061,New Hanover County,ILM,Air,US
9062,Clinton Field,ILN,Air,US
9063,Municipal,WGO,Air,US
9064,Winder,WDR,Air,US
9065,Bradley International,BDL,Air,US
9066,Arkansas City,WLD,Air,US
9067,Wink,INK,Air,US
9068,Winnemucca,WMC,Air,US
9069,Municipal,ONA,Air,US
9070,Winslow,INW,Air,US
9071,Smith-Reynolds,INT,Air,US
9072,Gilbert Field,GIF,Air,US
9073,Van Service,QWP,Air,US
9074,Wiscasset,ISS,Air,US
9075,Alexander Field,ISW,Air,US
9076,Wise,LNP,Air,US
9077,Wiseman,WSM,Air,US
9078,Cummings Park,WBN,Air,US
9079,International,OLF,Air,US
9080,Wood River,WOD,Air,US
9081,Woodchopper,WOO,Air,US
9082,West Woodward,WWR,Air,US
9083,Wayne County,BJJ,Air,US
9084,Worcester,ORH,Air,US
9085,Worland,WRL,Air,US
9086,Worthington,OTG,Air,US
9087,Wrangell SPB,WRG,Air,US
9088,Wrench Creek,WRH,Air,US
