id,name,port_code,shipment_type_name,country_country_code
1000,Val De Cans,BEL,Air,BR
1001,Belmonte,BVM,Air,BR
1002,Pampulha,PLU,Air,BR
1003,Bento Goncalves,BGV,Air,BR
1004,Blumenau,BNU,Air,BR
1005,Boa Vista,BVB,Air,BR
1006,Boca Do Acre,BCR,Air,BR
1007,Bom Jesus Da Lapa,LAZ,Air,BR
1008,Bonito Airport,BYO,Air,BR
1009,Borba,RBB,Air,BR
1010,Braganca Paulista,BJP,Air,BR
1011,Presidente Juscelino Kubitschek International Airport,BSB,Air,BR
1012,Breves,BVS,Air,BR
1013,Brumado,BMS,Air,BR
1014,Buzios,BZC,Air,BR
1015,Cabo Frio,CFB,Air,BR
1016,Cacador,CFC,Air,BR
1017,Caceres,CCX,Air,BR
1018,Cachoeira,CCQ,Air,BR
1019,Cachoeiro Itapemirim,CDI,Air,BR
1020,Cacoal,OAL,Air,BR
1021,Caldas Novas,CLV,Air,BR
1022,Cameta,CMT,Air,BR
1023,Camocim,CMC,Air,BR
1024,Joao Suassuna,CPV,Air,BR
1025,International,CPQ,Air,BR
1026,Internacional,CGR,Air,BR
1027,Campo Mourao,CBW,Air,BR
1028,Bartolomeu Lisandro,CAW,Air,BR
1029,Cana Brava,NBV,Air,BR
1030,Canarana Airport,CQA,Air,BR
1031,Canavieiras,CNV,Air,BR
1032,Carajas,CKS,Air,BR
1033,Carauari,CAF,Air,BR
1034,Caravelas,CRQ,Air,BR
1035,Carolina,CLN,Air,BR
1036,Caruaru,CAU,Air,BR
1037,Carutapera,CTP,Air,BR
1038,Cascavel,CAC,Air,BR
1039,Cassilandia,CSS,Air,BR
1040,Catalao,TLZ,Air,BR
1041,Campo Dos Bugres,CXJ,Air,BR
1042,Chapeco,XAP,Air,BR
1043,Coari,CIZ,Air,BR
1044,Colorado do Oeste,CSW,Air,BR
1045,Conceicao Do Araguaia,CDJ,Air,BR
1046,Concordia,CCI,Air,BR
1047,Confreza,CFO,Air,BR
1048,Cornelio Procopio,CKO,Air,BR
1049,Internacional,CMG,Air,BR
1050,Costa Marques,CQS,Air,BR
1051,Criciuma,CCM,Air,BR
1052,Carlos Ruhl,CZB,Air,BR
1053,Campo Internacional,CZS,Air,BR
1054,M. Rondon,CGB,Air,BR
1055,Afonso Pena International Airport,CWB,Air,BR
1056,Bacacheri,BFH,Air,BR
1057,Cururupu,CPU,Air,BR
1058,Diamantino,DMT,Air,BR
1059,Dianopolis,DNO,Air,BR
1060,Divinopolis,DIQ,Air,BR
1061,Dourados,DOU,Air,BR
1062,Eirunepe,ERN,Air,BR
1063,Comandante Kraemer,ERM,Air,BR
1064,Espinosa,ESI,Air,BR
1065,Feijo,FEJ,Air,BR
1066,Feira De Santana,FEC,Air,BR
1067,Fernando De Noronha,FEN,Air,BR
1068,Cangapara,FLB,Air,BR
