id,name,port_code,shipment_type_name,country_country_code
2000,Penrhyn Island,PYE,Air,CK
2001,Puka Puka Is/Attol,PZK,Air,CK
2002,Rarotonga,RAR,Air,CK
2003,Alto Palena,WAP,Air,CL
2004,Ancud,ZUD,Air,CL
2005,Cerro Moreno,ANF,Air,CL
2006,Chacalluta,ARI,Air,CL
2007,Teniente Vidal,BBA,Air,CL
2008,El Loa,CJC,Air,CL
2009,Gamboa,WCA,Air,CL
2010,Cerro Sombrero,SMB,Air,CL
2011,Chaiten,WCH,Air,CL
2012,Chanaral,CNR,Air,CL
2013,Chile Chico,CCH,Air,CL
2014,Chillan,YAI,Air,CL
2015,Cochrane,LGR,Air,CL
2016,Carriel Sur,CCP,Air,CL
2017,Chamonate,CPO,Air,CL
2018,Coquimbo,COW,Air,CL
2019,Ten. Vidal,GXQ,Air,CL
2020,Mataveri Intl,IPC,Air,CL
2021,El Salvador,ESR,Air,CL
2022,Frutillar,FRT,Air,CL
2023,Futaleufu,FFU,Air,CL
2024,Cavancha,IQQ,Air,CL
2025,La Florida,LSC,Air,CL
2026,Los Andes,LOB,Air,CL
2027,Los Angeles,LSQ,Air,CL
2028,Canal Balo,ZOS,Air,CL
2029,Ovalle,OVL,Air,CL
2030,Porvenir,WPR,Air,CL
2031,Pucon,ZPC,Air,CL
2032,Puerto Aisen,WPA,Air,CL
2033,Tepual,PMC,Air,CL
2034,Teniente J. Gallardo,PNT,Air,CL
2035,Puerto Varas,PUX,Air,CL
2036,Puerto Williams,WPU,Air,CL
2037,Pres Ibanez,PUQ,Air,CL
2038,Arturo Merino Benitez,SCL,Air,CL
2039,Los Cerrillos,ULC,Air,CL
2040,Talca,TLX,Air,CL
2041,Taltal,TTC,Air,CL
2042,Maquehue,ZCO,Air,CL
2043,Barriles,TOQ,Air,CL
2044,Pichoy,ZAL,Air,CL
2045,Vallenar,VLR,Air,CL
2046,Valparaiso,VAP,Air,CL
2047,Victoria,ZIC,Air,CL
2048,Vina del Mar,KNA,Air,CL
2049,Bafoussam,BFX,Air,CM
2050,Ngurah Rai,BLC,Air,CM
2051,Bamenda,BPC,Air,CM
2052,Batouri,OUR,Air,CM
2053,Yaoundé,BTA,Air,CM
2054,Douala,DLA,Air,CM
2055,Dschang,DSC,Air,CM
2056,Ebolowa,EBW,Air,CM
2057,Foumban,FOM,Air,CM
2058,Garoua,GOU,Air,CM
2059,Kaele,KLE,Air,CM
2060,Koutaba,KOB,Air,CM
2061,Kribi,KBI,Air,CM
2062,Limbe,VCC,Air,CM
2063,Mamfe,MMF,Air,CM
2064,Salam,MVR,Air,CM
2065,Ngaoundere,NGE,Air,CM
2066,Nkongsamba,NKS,Air,CM
2067,Tiko,TKC,Air,CM
2068,Yagoua,GXX,Air,CM
2069,Nsimalen,NSI,Air,CM
2070,Yaounde Airport,YAO,Air,CM
2071,Aksu,AKU,Air,CN
2072,Altay,AAT,Air,CN
2073,An Shun/Huang Guo Shu,AVA,Air,CN
2074,Ankang,AKA,Air,CN
2075,Anqing,AQG,Air,CN
2076,Anshan,AOG,Air,CN
2077,Anyang,AYN,Air,CN
2078,Bangda,BPX,Air,CN
2079,Baoshan,BSD,Air,CN
2080,Baotou,BAV,Air,CN
2081,Beihai,BHY,Air,CN
2082,Capital,PEK,Air,CN
2083,Nanyuan Airport,NAY,Air,CN
2084,Bengbu,BFU,Air,CN
2085,Changchun,CGQ,Air,CN
2086,Changde,CGD,Air,CN
2087,Changhai,CNI,Air,CN
2088,Changsha,CSX,Air,CN
2089,Changzhi,CIH,Air,CN
2090,Changzhou,CZX,Air,CN
2091,Chaoyang Airport,CHG,Air,CN
2092,Chengdu,CTU,Air,CN
2093,Chifeng,CIF,Air,CN
2094,Chongqing Jiangbei International,CKG,Air,CN
2095,Dali,DLU,Air,CN
2096,Dalian,DLC,Air,CN
2097,Dandong,DDG,Air,CN
2098,Datong,DAT,Air,CN
2099,Daxian,DAX,Air,CN
