id,name,port_code,shipment_type_name,country_country_code
6000,Wana,WAF,Air,PK
6001,Zhob,PZH,Air,PK
6002,Bydgoszcz I. J. Paderewski Airport,BZG,Air,PL
6003,Czestochowa,CZW,Air,PL
6004,Rebiechowo,GDN,Air,PL
6005,Pyrzowice,KTW,Air,PL
6006,Koszalin,OSZ,Air,PL
6007,J. Paul Ii Balice Intl,KRK,Air,PL
6008,Lodz Lublinek,LCJ,Air,PL
6009,Lawica,POZ,Air,PL
6010,Jasionka,RZE,Air,PL
6011,Redzikowo,OSP,Air,PL
6012,Goleniow,SZZ,Air,PL
6013,Mazury,SZY,Air,PL
6014,Frederic Chopin,WAW,Air,PL
6015,Strachowice,WRO,Air,PL
6016,Babimost,IEG,Air,PL
6017,Sukhothai,THS,Air,PL
6018,Miquelon Aprt,MQC,Air,PM
6019,Saint-Pierre Pointe-Blanche,FSP,Air,PM
6020,Borinquen,BQN,Air,PR
6021,Arecibo,ARE,Air,PR
6022,Culebra,CPX,Air,PR
6023,Dorado Beach,DDP,Air,PR
6024,Fajardo,FAJ,Air,PR
6025,Humacao Arpt,HUC,Air,PR
6026,Palmas Del Mar,PPD,Air,PR
6027,Eugenio M De Hostos,MAZ,Air,PR
6028,Mercedita,PSE,Air,PR
6029,Roosevelt NAS,NRR,Air,PR
6030,Isla Grande,SIG,Air,PR
6031,Luis Munoz Marin Intl,SJU,Air,PR
6032,Vieques,VQS,Air,PR
6033,Braga,BGZ,Air,PT
6034,Braganca,BGC,Air,PT
6035,Chaves,CHV,Air,PT
6036,Coimbra,CBP,Air,PT
6037,Corvo Island,CVU,Air,PT
6038,Covilha,COV,Air,PT
6039,Faro,FAO,Air,PT
6040,Faro TP,ZYF,Air,PT
6041,Santa Cruz,FLW,Air,PT
6042,Graciosa Island,GRW,Air,PT
6043,Horta,HOR,Air,PT
6044,Lisboa - Portela,LIS,Air,PT
6045,Lisbon TP,ZYD,Air,PT
6046,Madeira,FNC,Air,PT
6047,Pico Island,PIX,Air,PT
6048,Nordela,PDL,Air,PT
6049,Portimao,PRM,Air,PT
6050,Porto,OPO,Air,PT
6051,Porto TP,ZYJ,Air,PT
6052,Porto Santo,PXO,Air,PT
6053,Vila Do Porto,SMA,Air,PT
6054,Sao Jorge Island,SJZ,Air,PT
6055,Sines,SIE,Air,PT
6056,Lajes,TER,Air,PT
6057,Vila Real,VRL,Air,PT
6058,Viseu,VSE,Air,PT
6059,Airai,ROR,Air,PW
6060,Silvio Pettirossi,ASU,Air,PY
6061,Ayolas,AYO,Air,PY
6062,Bahia Negra,BFA,Air,PY
6063,Alejo Garcia,AGT,Air,PY
6064,MCAL Lopez,CIO,Air,PY
6065,Teniente Prim Alarcon,ENO,Air,PY
6066,Filadelfia,FLM,Air,PY
6067,Fuerte Olimpo,OLK,Air,PY
6068,Mariscal Estigarribia,ESG,Air,PY
6069,Pedro Juan Caballero,PJC,Air,PY
6070,Pilar,PIL,Air,PY
6071,Puerto La Victoria,PCJ,Air,PY
6072,Puerto Leda,PBT,Air,PY
6073,INC,VMI,Air,PY
6074,Al Udeid,XJD,Air,QA
6075,Doha,DOH,Air,QA
6076,Doha Free Zone,XOZ,Air,QA
6077,Gillot,RUN,Air,RE
6078,St Pierre dela Reunion,ZSE,Air,RE
6079,Arad,ARW,Air,RO
6080,Bacau,BCM,Air,RO
6081,Baia Mare,BAY,Air,RO
6082,Baneasa,BBU,Air,RO
6083,Henri Coanda International,OTP,Air,RO
6084,Caransebes,CSB,Air,RO
6085,Someseni International Airport,CLJ,Air,RO
6086,Kogalniceanu,CND,Air,RO
6087,Craiova,CRA,Air,RO
6088,Deva,DVA,Air,RO
6089,Iasi,IAS,Air,RO
6090,Oradea,OMR,Air,RO
6091,Satu Mare,SUJ,Air,RO
6092,Sibiu,SBZ,Air,RO
6093,Salcea,SCV,Air,RO
6094,Timisoara (Traian Vuia) International,TSR,Air,RO
6095,Tirgu Mures,TGM,Air,RO
6096,Tulcea,TCE,Air,RO
6097,Khanty-Mansiysk,HMA,Air,RU
6098,Kogalym International,KGP,Air,RU
6099,Solovky,CSH,Air,RU
6100,Abakan,ABA,Air,RU
6101,Achinsk,ACS,Air,RU
6102,Adler/Sochi,AER,Air,RU
6103,Aldan,ADH,Air,RU
6104,Amderma,AMV,Air,RU
6105,Anadyr,DYR,Air,RU
6106,Anapa,AAQ,Air,RU
6107,Arkhangelsk,ARH,Air,RU
6108,Astrakhan,ASF,Air,RU
6109,Balakovo,BWO,Air,RU
6110,Barnaul,BAX,Air,RU
6111,Belgorod,EGO,Air,RU
6112,Beloreck,BCX,Air,RU
6113,Blagoveschensk,BQS,Air,RU
6114,Bratsk,BTK,Air,RU
6115,Briansk,BZK,Air,RU
6116,Bugulma,UUA,Air,RU
6117,Cheboksary,CSY,Air,RU
6118,Chelyabinsk,CEK,Air,RU
6119,Cherepovets,CEE,Air,RU
6120,Cherskiy,CYX,Air,RU
6121,Chita,HTA,Air,RU
6122,Chkalovsky,CKL,Air,RU
6123,Chokurdah,CKH,Air,RU
6124,Chulman,CNN,Air,RU
6125,Dikson,DKS,Air,RU
6126,Ekaterinburg,SVX,Air,RU
6127,Elista,ESL,Air,RU
6128,Eniseysk,EIE,Air,RU
6129,Gelendzik,GDZ,Air,RU
6130,Groznyj,GRV,Air,RU
6131,Hatanga,HTG,Air,RU
6132,Igarka,IAA,Air,RU
6133,Inta,INA,Air,RU
6134,Irkutsk,IKT,Air,RU
6135,Ivanova,IWA,Air,RU
6136,Izhevsk,IJK,Air,RU
6137,Joshkar-Ola,JOK,Air,RU
6138,Migalovo,KLD,Air,RU
6139,Kaliningrad,KGD,Air,RU
6140,Kaluga,KLF,Air,RU
6141,Kazan,KZN,Air,RU
6142,Kemerovo,KEJ,Air,RU
6143,Novyy,KHV,Air,RU
6144,Kirov,KVX,Air,RU
6145,Kirovsk,KVK,Air,RU
6146,Komsomolsk Na Amure,KXK,Air,RU
6147,Kostroma,KMW,Air,RU
6148,Kotlas,KSZ,Air,RU
6149,Rostov,KRR,Air,RU
6150,Krasnojarsk,KJA,Air,RU
6151,Kurgan,KRO,Air,RU
6152,Kursk,URS,Air,RU
6153,Kyzyl,KYZ,Air,RU
6154,Leshukonskoye,LDG,Air,RU
6155,Lipetsk,LPK,Air,RU
6156,Magadan,GDX,Air,RU
6157,Magdagachi,GDG,Air,RU
6158,Magnitogorsk,MQF,Air,RU
6159,Makhachkala,MCX,Air,RU
6160,Mineralnye Vody,MRV,Air,RU
6161,Mirnyj,MJZ,Air,RU
6162,Bykovo,BKA,Air,RU
6163,Domodedovo,DME,Air,RU
6164,Leningradskiy Rail Stn,ZKD,Air,RU
6165,Paveletskiy Rail Stn.,XRK,Air,RU
6166,Sheremetyevo,SVO,Air,RU
6167,Vnukovo,VKO,Air,RU
6168,Murmansk,MMK,Air,RU
6169,Naberevnye Chelny,NBC,Air,RU
6170,Nadym,NYM,Air,RU
6171,Nalchik,NAL,Air,RU
6172,Naryan-Mar,NNM,Air,RU
6173,Neftekamsk,NEF,Air,RU
6174,Nefteyugansk,NFG,Air,RU
6175,Neryungri,NER,Air,RU
6176,Nizhnevartovsk,NJC,Air,RU
6177,Nizhniy Novgorod,GOJ,Air,RU
6178,Nojabrxsk,NOJ,Air,RU
6179,Novgorod,NVR,Air,RU
6180,Novokuznetsk,NOZ,Air,RU
