id,name,port_code,shipment_type_name,country_country_code
1500,Fort Nelson,YYE,Air,CA
1501,Fort Reliance,YFL,Air,CA
1502,Fort Resolution,YFR,Air,CA
1503,Fort Severn,YER,Air,CA
1504,Fort Simpson,YFS,Air,CA
1505,Fort Smith,YSM,Air,CA
1506,Fort St John,YXJ,Air,CA
1507,Fox Harbour (St Lewis),YFX,Air,CA
1508,Fredericton,YFC,Air,CA
1509,Gagetown,YCX,Air,CA
1510,Gagnon,YGA,Air,CA
1511,Gander International,YQX,Air,CA
1512,Ganges Harbor,YGG,Air,CA
1513,Geraldton,YGQ,Air,CA
1514,Germansen,YGS,Air,CA
1515,Gethsemani,ZGS,Air,CA
1516,Gillam,YGX,Air,CA
1517,Gillies Bay,YGB,Air,CA
1518,Gimli,YGM,Air,CA
1519,Gjoa Haven,YHK,Air,CA
1520,Gods Narrows,YGO,Air,CA
1521,Gods River,ZGI,Air,CA
1522,Goose Bay,YYR,Air,CA
1523,Gore Bay,YZE,Air,CA
1524,Gorge Harbor,YGE,Air,CA
1525,Grand Forks,ZGF,Air,CA
1526,Grande Cache,YGC,Air,CA
1527,Grande Prairie,YQU,Air,CA
1528,Granville Lake,XGL,Air,CA
1529,Great Bear Lake,DAS,Air,CA
1530,Greenway Sound,YGN,Air,CA
1531,Greenwood,YZX,Air,CA
1532,Grise Fiord,YGZ,Air,CA
1533,Metropolitan Area,YTO,Air,CA
1534,Haines Junction,YHT,Air,CA
1535,Hakai Pass,YHC,Air,CA
1536,Dwtown Waterfront H/P,YWF,Air,CA
1537,Halifax International,YHZ,Air,CA
1538,Shearwater,YAW,Air,CA
1539,Hall Beach,YUX,Air,CA
1540,Hamilton,YHM,Air,CA
1541,Hartley Bay,YTB,Air,CA
1542,Hatchet Lake,YDJ,Air,CA
1543,Havre St Pierre,YGV,Air,CA
1544,Hay River,YHY,Air,CA
1545,Hearst,YHF,Air,CA
1546,Footner Lake,YOJ,Air,CA
1547,High Prairie,ZHP,Air,CA
1548,Holman,YHI,Air,CA
1549,Hope,YHE,Air,CA
