id,name,port_code,shipment_type_name,country_country_code
5000,Maputo International,MPM,Air,MZ
5001,Marromeu,RRM,Air,MZ
5002,Mocimboa Praia,MZB,Air,MZ
5003,Moma,MMW,Air,MZ
5004,Montepuez,MTU,Air,MZ
5005,Mueda,MUD,Air,MZ
5006,Nacala,MNC,Air,MZ
5007,Nampula,APL,Air,MZ
5008,Nangade,NND,Air,MZ
5009,Palma,LMZ,Air,MZ
5010,Pebane,PEB,Air,MZ
5011,Pemba,POL,Air,MZ
5012,Ponta de Ouro,PDD,Air,MZ
5013,Quelimane,UEL,Air,MZ
5014,Santa Carolina,NTC,Air,MZ
5015,Tete,TCV,Air,MZ
5016,Matunda,TET,Air,MZ
5017,Vilanculos,VNX,Air,MZ
5018,Xai Xai,VJB,Air,MZ
5019,Ai-Ais,AIW,Air,NA
5020,Arandis,ADI,Air,NA
5021,Bagani,BQI,Air,NA
5022,Lianshulu,LHU,Air,NA
5023,Gobabis,GOG,Air,NA
5024,Grootfontein,GFY,Air,NA
5025,Halali,HAL,Air,NA
5026,Karasburg,KAS,Air,NA
5027,J.G.H. Van Der Wath,KMP,Air,NA
5028,Luderitz,LUD,Air,NA
5029,Midgard,MQG,Air,NA
5030,Mokuti Lodge,OKU,Air,NA
5031,Mount Etjo Lodge,MJO,Air,NA
5032,Mpacha,MPA,Air,NA
5033,Namutoni,NNI,Air,NA
5034,Okaukuejo,OKF,Air,NA
5035,Omega,OMG,Air,NA
5036,Ondangwa,OND,Air,NA
5037,Ongava Game Reserve,OGV,Air,NA
5038,Opuwa,OPW,Air,NA
5039,Oranjemund,OMD,Air,NA
5040,Oshakati,OHI,Air,NA
5041,Otjiwarongo,OTJ,Air,NA
5042,Rosh Pina,RHN,Air,NA
5043,Rundu,NDU,Air,NA
5044,Sesriem,SZM,Air,NA
5045,Swakopmund,SWP,Air,NA
5046,Railway Station,ZSZ,Air,NA
5047,Terrace Bay,TCY,Air,NA
5048,Tsumeb,TSB,Air,NA
5049,Eros,ERS,Air,NA
5050,Railway Station,ZWH,Air,NA
5051,Hosea Kutako International Airport,WDH,Air,NA
5052,Belep Island,BMY,Air,NC
5053,Hienghene,HNG,Air,NC
5054,Houailou,HLU,Air,NC
5055,Ile Des Pins,ILP,Air,NC
5056,Ile Ouen,IOU,Air,NC
5057,Kone,KNQ,Air,NC
5058,Koumac,KOC,Air,NC
5059,Lifou,LIF,Air,NC
5060,Mare,MEE,Air,NC
5061,Mueo,PDC,Air,NC
5062,Magenta,GEA,Air,NC
5063,Tontouta,NOU,Air,NC
5064,Ouvea,UVE,Air,NC
5065,Poum,PUV,Air,NC
5066,Tiga,TGJ,Air,NC
5067,Touho,TOU,Air,NC
5068,Agades,AJY,Air,NE
5069,Arlit,RLT,Air,NE
5070,Birni Nkoni,BKN,Air,NE
5071,Maradi,MFQ,Air,NE
5072,Niamey,NIM,Air,NE
5073,Tahoua,THZ,Air,NE
5074,Zinder,ZND,Air,NE
5075,Norfolk Island,NLK,Air,NF
5076,International,ABV,Air,NG
5077,Akure,AKR,Air,NG
5078,Bauchi,BCU,Air,NG
5079,Benin City,BNI,Air,NG
5080,Calabar,CBQ,Air,NG
5081,Enugu,ENU,Air,NG
5082,Ibadan,IBA,Air,NG
5083,Ilorin,ILR,Air,NG
5084,Jos,JOS,Air,NG
5085,Kaduna,KAD,Air,NG
5086,Aminu Kano Intl Apt,KAN,Air,NG
5087,Murtala Muhammed,LOS,Air,NG
5088,Maiduguri,MIU,Air,NG
5089,Makurdi,MDI,Air,NG
5090,Minna,MXJ,Air,NG
5091,Port Harcourt,PHC,Air,NG
5092,Port Harcourt City,PHG,Air,NG
5093,Sokoto,SKO,Air,NG
5094,Victoria Island,QVL,Air,NG
5095,Warri,QRW,Air,NG
5096,Yola,YOL,Air,NG
5097,Zaria,ZAR,Air,NG
5098,Bluefields,BEF,Air,NI
5099,San Pedro,BZA,Air,NI
5100,Corn Island,RNI,Air,NI
5101,Augusto C Sandino,MGA,Air,NI
5102,Nueva Guinea,NVG,Air,NI
5103,Puerto Cabezas,PUZ,Air,NI
5104,Rosita,RFS,Air,NI
5105,San Carlos,NCR,Air,NI
5106,Siuna,SIU,Air,NI
5107,Waspam,WSP,Air,NI
5108,Woensdrecht,BZM,Air,NL
5109,Gilze-Rijen,GLZ,Air,NL
5110,De Kooy,DHR,Air,NL
5111,Eindhoven,EIN,Air,NL
5112,Twente,ENS,Air,NL
5113,Eelde,GRQ,Air,NL
5114,Leeuwarden,LWR,Air,NL
5115,Valkenburg,LID,Air,NL
5116,Lelystad,LEY,Air,NL
5117,Maastricht/aachen,MST,Air,NL
5118,Rotterdam,RTM,Air,NL
