id,name,port_code,shipment_type_name,country_country_code
2500,Punta Alegre,UPA,Air,CU
2501,Punta De Maisi,UMA,Air,CU
2502,San Julian,SNJ,Air,CU
2503,Sancti Spiritus,USS,Air,CU
2504,Santa Clara,SNU,Air,CU
2505,Antonio Maceo,SCU,Air,CU
2506,Siguanea,SZJ,Air,CU
2507,Trinidad,TND,Air,CU
2508,Juan Gualberto Gomez,VRA,Air,CU
2509,Rabil,BVC,Air,CV
2510,Esperadinha,BVR,Air,CV
2511,Vila Do Maio,MMO,Air,CV
2512,Mosteiros,MTI,Air,CV
2513,Francisco Mendes,RAI,Air,CV
2514,Amilcar Cabral Intl,SID,Air,CV
2515,Santo Antao,NTO,Air,CV
2516,Sao Filipe,SFL,Air,CV
2517,Preguica,SNE,Air,CV
2518,San Pedro,VXE,Air,CV
2519,Christmas Island,XCH,Air,CX
2520,Akrotiri RAF,AKT,Air,CY
2521,Episkopi,EPK,Air,CY
2522,Ercan,ECN,Air,CY
2523,Gecitkale,GEC,Air,CY
2524,Larnaca,LCA,Air,CY
2525,Nicosia,NIC,Air,CY
2526,International,PFO,Air,CY
2527,Mosnov,OSR,Air,CZ
2528,Pardubice,PED,Air,CZ
2529,Hlavni N. Railway,XYG,Air,CZ
2530,Holosovice Railway,XYJ,Air,CZ
2531,Aachen/Merzbruck,AAH,Air,DE
2532,Railway,ZIU,Air,DE
2533,Railway Station,XHJ,Air,DE
2534,Altenburg Nobitz,AOC,Air,DE
2535,Sachsen Railway Stn.,ZAU,Air,DE
2536,Baltrum,BMR,Air,DE
2537,Barth,BBH,Air,DE
2538,Bindlacher-Berg,BYU,Air,DE
2539,Berlin Zoo,QWC,Air,DE
2540,RAF Gatow,GWW,Air,DE
2541,Schoenefeld,SXF,Air,DE
2542,Tegel,TXL,Air,DE
2543,Tempelhof,THF,Air,DE
2544,Bielefeld,BFE,Air,DE
2545,Bitburg Air Base,BBJ,Air,DE
2546,Boeblingen,PHM,Air,DE
2547,Borkum,BMK,Air,DE
2548,Braunschweig,BWE,Air,DE
2549,Bremen,BRE,Air,DE
2550,Bremerhaven,BRV,Air,DE
2551,R.A.F.,BGN,Air,DE
2552,Burg Feuerstein,URD,Air,DE
2553,Chemnitz Railway Stn.,ZTZ,Air,DE
2554,Cochstedt,CSO,Air,DE
2555,Cologne/bonn,CGN,Air,DE
2556,Cottbus,CBU,Air,DE
2557,Cottbus Railway Stn.,ZTT,Air,DE
2558,Cuxhaven/Nordholz,FCN,Air,DE
2559,Dessau Railway Stn.,ZSU,Air,DE
2560,Dortmund,DTM,Air,DE
2561,Dresden Arpt,DRS,Air,DE
2562,Düsseldorf International Airport (Rhein-Ruhr),DUS,Air,DE
2563,Moenchen-Gl. - DUS Exp,MGL,Air,DE
2564,Weeze,NRN,Air,DE
2565,Station,QDU,Air,DE
2566,Eisenach,EIB,Air,DE
2567,Emden,EME,Air,DE
2568,Erfurt,ERF,Air,DE
2569,Essen,ESS,Air,DE
