id,name,port_code,shipment_type_name,country_country_code
8500,Princeton,PCT,Air,US
8501,Princeton JT Rail,ZTJ,Air,US
8502,Princeton,BLF,Air,US
8503,Prineville,PRZ,Air,US
8504,Prospect Creek,PPC,Air,US
8505,Providence Rail,ZRV,Air,US
8506,T. F. Green Airport,PVD,Air,US
8507,Provincetown,PVC,Air,US
8508,Provo,PVU,Air,US
8509,Prudhoe Bay,PUO,Air,US
8510,Prudhoe Bay/Deadhorse,SCC,Air,US
8511,Memorial,PUB,Air,US
8512,Pullman-Moscow Regional Airport,PUW,Air,US
8513,Charlotte County,PGD,Air,US
8514,Upper Bucks,UKT,Air,US
8515,Quantanico Nas,NYG,Air,US
8516,Queen,UQE,Air,US
8517,Quillayute State,UIL,Air,US
8518,Municipal,UIN,Air,US
8519,Quincy,MQI,Air,US
8520,Kwinhagak,KWN,Air,US
8521,NAS,NCO,Air,US
8522,Horlick,RAC,Air,US
8523,Off line Point,XZU,Air,US
8524,Raleigh-Durham International Airport,RDU,Air,US
8525,Rampart,RMP,Air,US
8526,French Valley,RBK,Air,US
8527,Rangely,RNG,Air,US
8528,Ranger Municipal,RGR,Air,US
8529,Ellsworth AFB,RCA,Air,US
8530,Regional,RAP,Air,US
8531,Raspberry Strait,RSP,Air,US
8532,Crews Field,RTN,Air,US
8533,Rawlins,RWL,Air,US
8534,Municipal/Spaatz Fld,RDG,Air,US
8535,Red Bluff Fss,RBL,Air,US
8536,Red Devil,RDV,Air,US
8537,Red Dog,RDB,Air,US
8538,Grand Forks AFB,RDR,Air,US
8539,Redding,RDD,Air,US
8540,Roberts Field,RDM,Air,US
8541,Redwood Falls Muni,RWF,Air,US
8542,Miller Field,RCT,Air,US
8543,Mifflin County,RED,Air,US
8544,Rooke Field,RFG,Air,US
8545,Rehoboth Beach,REH,Air,US
8546,Rensselaer,RNZ,Air,US
8547,Renton,RNT,Air,US
8548,Oneida County,RHI,Air,US
8549,Rice Lake,RIE,Air,US
8550,Reynolds,RIF,Air,US
