id,name,port_code,shipment_type_name,country_country_code
4500,Tapeta,TPT,Air,LR
4501,Tchien,THC,Air,LR
4502,Voinjama,VOI,Air,LR
4503,Weasua,WES,Air,LR
4504,Wologissi,WOI,Air,LR
4505,Lebakeng,LEF,Air,LS
4506,Leribe,LRB,Air,LS
4507,Lesobeng,LES,Air,LS
4508,Mafeteng,MFC,Air,LS
4509,Moshoeshoe Intl,MSU,Air,LS
4510,Matsaile,MSG,Air,LS
4511,Mokhotlong,MKH,Air,LS
4512,Nkaus,NKU,Air,LS
4513,Pelaneng,PEL,Air,LS
4514,Qachas Nek,UNE,Air,LS
4515,Quthing,UTG,Air,LS
4516,Sehonghong,SHK,Air,LS
4517,Sekakes,SKQ,Air,LS
4518,Semongkong,SOK,Air,LS
4519,Seshutes,SHZ,Air,LS
4520,Thaba-Tseka,THB,Air,LS
4521,Tlokoeng,TKO,Air,LS
4522,Kaunas,KUN,Air,LT
4523,Palanga International,PLQ,Air,LT
4524,Panevezys,PNV,Air,LT
4525,Siauliai,SQQ,Air,LT
4526,Vilnius,VNO,Air,LT
4527,Findel,LUX,Air,LU
4528,Daugavpils,DGP,Air,LV
4529,Liepaya,LPX,Air,LV
4530,Riga International Airport,RIX,Air,LV
4531,La Braq,LAQ,Air,LY
4532,Benina Intl,BEN,Air,LY
4533,Brack,BCQ,Air,LY
4534,Martuba,DNF,Air,LY
4535,Ghadames,LTD,Air,LY
4536,Ghat,GHT,Air,LY
4537,Houn,HUQ,Air,LY
4538,Kufrah,AKF,Air,LY
4539,Marsa Brega,LMQ,Air,LY
4540,Misurata,MRA,Air,LY
4541,Mitiga,MJI,Air,LY
4542,Murzuq,QMQ,Air,LY
4543,Nafoora,NFR,Air,LY
4544,Sebha,SEB,Air,LY
4545,Sert,SRX,Air,LY
4546,Tobruk,TOB,Air,LY
4547,International,TIP,Air,LY
4548,Ubari,QUB,Air,LY
4549,Agadir Almassira,AGA,Air,MA
4550,Charif Al Idrissi,AHU,Air,MA
4551,Anfa,CAS,Air,MA
4552,Mohamed V,CMN,Air,MA
4553,Dakhla,VIL,Air,MA
4554,Errachidia,ERH,Air,MA
4555,Essaouira,ESU,Air,MA
4556,Sais,FEZ,Air,MA
4557,Goulimime,GLN,Air,MA
4558,NAF,NNA,Air,MA
4559,Ksar Es Souk,SEK,Air,MA
4560,Hassan I,EUN,Air,MA
4561,Menara,RAK,Air,MA
4562,Meknes,MEK,Air,MA
4563,Nador,NDR,Air,MA
4564,Ouarzazate,OZZ,Air,MA
4565,Les Angades,OUD,Air,MA
4566,Sale,RBA,Air,MA
4567,Safi,SFI,Air,MA
4568,Sidi Ifni,SII,Air,MA
4569,Smara,SMW,Air,MA
4570,Tan Tan,TTA,Air,MA
4571,Boukhalef,TNG,Air,MA
4572,Tarfaya,TFY,Air,MA
4573,Sania Ramel,TTU,Air,MA
4574,Heliport,MCM,Air,MC
4575,Beltsy,BZY,Air,MD
4576,Chisinau,KIV,Air,MD
4577,Ambanja,IVA,Air,MG
4578,Ambatolahy,AHY,Air,MG
4579,Ambatomainty,AMY,Air,MG
4580,Ambatondrazaka,WAM,Air,MG
4581,Ambilobe,AMB,Air,MG
4582,Ampanihy,AMP,Air,MG
4583,Analalava,HVA,Air,MG
4584,Andapa,ZWA,Air,MG
4585,Andriamena,WAD,Air,MG
4586,Ankavandra,JVA,Air,MG
4587,Ankazoabo,WAK,Air,MG
4588,Ankokoambo,NKO,Air,MG
4589,Moramba,WOR,Air,MG
4590,Antsirabato,ANM,Air,MG
4591,Antananarivo,TNR,Air,MG
4592,Antsalova,WAQ,Air,MG
4593,Antsirabe,ATJ,Air,MG
4594,Antsiranana/Arrachart,DIE,Air,MG
4595,Antsohihy,WAI,Air,MG
4596,Bealanana,WBE,Air,MG
4597,Befandriana,WBD,Air,MG
4598,Bekily,OVA,Air,MG
4599,Belo,BMD,Air,MG
